query,numpy_ms,faiss_ms
breaking up after many years,2688.9815599999565,248.03519999986747
being angry with a friend,2524.458980000054,217.46704000033787
nostalgic love,2442.945480000344,247.16499999994994
feeling energic before an event,2248.863639999763,169.06860000017332
